Country,ISO3,Indicator,Unit,2018,2019,2020,2021,2022
Thailand,THA,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,1.0,3.0,5.0,9.0
Thailand,THA,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,,
Thailand,THA,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,1.0,4.0,1.0,2.0
Thailand,THA,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,,3.0,7.0,6.0,11.0
Thailand,THA,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,,,
"Timor-Leste, Dem. Rep. of",TLS,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,,
"Timor-Leste, Dem. Rep. of",TLS,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,,1.0,,
"Timor-Leste, Dem. Rep. of",TLS,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,1.0,
"Timor-Leste, Dem. Rep. of",TLS,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,,,1.0,1.0,
"Türkiye, Rep. of",TUR,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,,,,,
"Türkiye, Rep. of",TUR,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,3.0,3.0,2.0,3.0
"Türkiye, Rep. of",TUR,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,1.0,,1.0,,
"Türkiye, Rep. of",TUR,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,1.0,,
"Türkiye, Rep. of",TUR,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,1.0,3.0,5.0,3.0,3.0
"Türkiye, Rep. of",TUR,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,,1.0,
Turkmenistan,TKM,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,,,,
Turkmenistan,TKM,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,,,,,
United Arab Emirates,ARE,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,,,,
United Arab Emirates,ARE,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,,,,,
"Uzbekistan, Rep. of",UZB,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,,
"Uzbekistan, Rep. of",UZB,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,,1.0,,1.0
"Uzbekistan, Rep. of",UZB,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,1.0,
"Uzbekistan, Rep. of",UZB,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,,,1.0,1.0,1.0
Vietnam,VNM,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,1.0,,,
Vietnam,VNM,"Climate related disasters frequency, Number of Disasters: Flood",Number of,3.0,5.0,1.0,3.0,5.0
Vietnam,VNM,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,,
Vietnam,VNM,"Climate related disasters frequency, Number of Disasters: Storm",Number of,4.0,2.0,10.0,5.0,3.0
Vietnam,VNM,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,7.0,8.0,11.0,8.0,8.0
Vietnam,VNM,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,,,
West Bank and Gaza,PSE,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,,,1.0,,1.0
West Bank and Gaza,PSE,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,,,,
West Bank and Gaza,PSE,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,,
West Bank and Gaza,PSE,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,,,1.0,,1.0
